ID,Type,Name,LongName,Parent,Component,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags,Assoc,NumDirClients,NumIndClients,BugNo,Label
L10530,class,AbstractFileFilter.java,org.apache.commons.io.filefilter.AbstractFileFilter,L10529,L103,0,2,2,0,0,0,1,17,17,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,1,1
L10531,class,AgeFileFilter.java,org.apache.commons.io.filefilter.AgeFileFilter,L10529,L103,2,7,7,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,3,1
L10532,class,AndFileFilter.java,org.apache.commons.io.filefilter.AndFileFilter,L10529,L103,1,9,9,1,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,,,,2,1
L10533,class,CanReadFileFilter.java,org.apache.commons.io.filefilter.CanReadFileFilter,L10529,L103,0,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,1
L10534,class,CanWriteFileFilter.java,org.apache.commons.io.filefilter.CanWriteFileFilter,L10529,L103,0,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,1
L10536,class,DelegateFileFilter.java,org.apache.commons.io.filefilter.DelegateFileFilter,L10529,L103,2,4,4,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,,,,3,1
L10537,class,DirectoryFileFilter.java,org.apache.commons.io.filefilter.DirectoryFileFilter,L10529,L103,0,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,1
L10538,class,EmptyFileFilter.java,org.apache.commons.io.filefilter.EmptyFileFilter,L10529,L103,0,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,1
L10539,class,FalseFileFilter.java,org.apache.commons.io.filefilter.FalseFileFilter,L10529,L103,0,3,2,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,,,,1,1
L10540,class,FileFileFilter.java,org.apache.commons.io.filefilter.FileFileFilter,L10529,L103,0,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,1
L10541,class,FileFilterUtils.java,org.apache.commons.io.filefilter.FileFilterUtils,L10529,L103,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,43,0,0,0,0,0,0,0,,,,3,1
L10542,class,HiddenFileFilter.java,org.apache.commons.io.filefilter.HiddenFileFilter,L10529,L103,0,2,1,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,1
L10544,class,NameFileFilter.java,org.apache.commons.io.filefilter.NameFileFilter,L10529,L103,1,8,8,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,12,0,0,0,0,0,0,0,,,,3,1
L10545,class,NotFileFilter.java,org.apache.commons.io.filefilter.NotFileFilter,L10529,L103,0,3,3,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,,,,3,1
L10546,class,OrFileFilter.java,org.apache.commons.io.filefilter.OrFileFilter,L10529,L103,1,9,9,1,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,,,,2,1
L10547,class,PrefixFileFilter.java,org.apache.commons.io.filefilter.PrefixFileFilter,L10529,L103,1,5,5,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,,,,4,1
L10548,class,SizeFileFilter.java,org.apache.commons.io.filefilter.SizeFileFilter,L10529,L103,2,3,3,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,3,1
L10549,class,SuffixFileFilter.java,org.apache.commons.io.filefilter.SuffixFileFilter,L10529,L103,1,5,5,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,,,,4,1
