ID,Type,Name,LongName,Parent,Component,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags,Assoc,NumDirClients,NumIndClients,BugNo,Label
L23972,Class,Constants,org.apache.xalan.templates.Constants,L23690,L103,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,1
L9887,Class,Constants,org.apache.xalan.templates.Constants,L9621,L103,334,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,1
L18088,Class,Constants,org.apache.xalan.templates.Constants,L17811,L103,334,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0
L18539,Class,Constants,org.apache.xalan.templates.Constants,L18245,L103,334,0,0,0,0,0,0,0,0,1,1,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,1,1
L19014,Class,XMLMessages,org.apache.xerces.utils.XMLMessages,L23264,L103,323,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,,,,0,0
L19462,Class,XMLMessages,org.apache.xerces.utils.XMLMessages,L23673,L103,323,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,,,,1,1
L22064,Class,XSLTErrorResources,org.apache.xalan.res.XSLTErrorResources,L21964,L103,283,8,7,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,,,,3,1
L26487,Class,EscherProperties,org.apache.poi.ddf.EscherProperties,L25632,L103,275,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,,,,0,0
L32478,Class,EscherProperties,org.apache.poi.ddf.EscherProperties,L31584,L103,275,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,,,,2,1
L9512,Class,XSLTErrorResources,org.apache.xalan.res.XSLTErrorResources,L9463,L103,254,3,2,0,2,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,1,16,4,0,0,0,0,0,0,0,,,,1,1
L9017,Class,XSLTErrorResources,org.apache.xalan.res.XSLTErrorResources,L8968,L103,248,3,2,0,2,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,2,16,4,0,0,0,0,0,0,0,,,,6,1
L8725,Class,XSLTErrorResources,org.apache.xalan.res.XSLTErrorResources,L8687,L103,244,3,2,0,2,0,0,10,10,1,1,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,,,,2,1
