ID,Type,Name,LongName,Parent,Component,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,Connectors,InstSpec,LLInst,MsgSent,MsgRecv,MsgSelf,Diags,Assoc,NumDirClients,NumIndClients,BugNo,Label
L10045,Class,ContextCorePlugin,org.eclipse.mylyn.internal.context.core.ContextCorePlugin,L9622,L103,3,18,15,0,12,0,0,0,0,1,1,0,0,0,0,0,5,5,1,0,3,0,23,0,0,0,0,0,0,0,,,,1,1
L10049,Class,AbstractContextStructureBridge,org.eclipse.mylyn.context.core.AbstractContextStructureBridge,L60162,L103,1,15,15,1,11,0,0,9,9,0,0,1,0,0,0,0,0,0,2,0,1,6,23,0,0,0,0,0,0,0,,,,0,0
L10078,Class,InteractionContextManager,org.eclipse.mylyn.internal.context.core.InteractionContextManager,L9622,L103,33,66,55,3,17,0,1,0,0,0,0,0,0,0,0,0,6,6,6,0,3,3,86,0,0,0,0,0,0,0,,,,2,1
L10082,Class,LocalContextStore,org.eclipse.mylyn.internal.context.core.LocalContextStore,L9622,L103,2,19,16,1,3,0,1,0,0,0,0,0,0,0,0,0,4,4,2,0,2,2,28,0,0,0,0,0,0,0,,,,1,1
L10098,Class,InteractionContextScaling,org.eclipse.mylyn.internal.context.core.InteractionContextScaling,L9622,L103,13,13,13,5,7,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,,,,0,0
L10144,class,ExtractReuters,org.apache.lucene.benchmark.utils.ExtractReuters,L10140,L103,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,,,,0,0
L1016,class,PatternParser,org.apache.lucene.analysis.compound.hyphenation.PatternParser,L805,L103,10,24,17,1,4,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,4,0,37,0,0,0,0,0,0,0,,,,0,0
L1019,Class,BugzillaStatus,org.eclipse.mylyn.internal.bugzilla.core.BugzillaStatus,L109,L103,2,8,8,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,,,,0,0
L10202,class,ExtractWikipedia,org.apache.lucene.benchmark.utils.ExtractWikipedia,L10140,L103,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,,,,0,0
L10218,Class,ConsoleMsg,org.eclipse.osgi.framework.internal.core.ConsoleMsg,L10129,L103,138,0,0,0,0,0,0,0,0,1,1,0,10,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0
